epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7558,1.27724,2.60888,1.67119,0.5284,0.47357,0.51303,0.26344,1.83488,2.40048,2.76534,0.000467673,0.000467673,0.000467673
2,54.6276,1.44879,1.92465,1.81149,0.49834,0.06476,0.04892,0.01688,3.2599,8.65953,4.28096,0.00093466,0.00093466,0.00093466
3,76.0759,1.54771,1.94712,1.86374,0.69948,0.06472,0.01833,0.00371,3.46723,8.51488,4.57039,0.00139222,0.00139222,0.00139222
4,97.5385,1.54798,1.83656,1.85207,0.27324,0.12707,0.09134,0.02704,2.96085,4.38437,3.73754,0.00138656,0.00138656,0.00138656
5,120.494,1.50902,1.8411,1.82678,0.25731,0.36271,0.23286,0.09443,2.32136,2.59537,3.11483,0.00137241,0.00137241,0.00137241
6,142.462,1.48747,1.80447,1.80425,0.37046,0.31119,0.19071,0.08211,2.06335,3.61665,2.57245,0.00135826,0.00135826,0.00135826
7,163.851,1.41865,1.73054,1.7626,0.53922,0.47129,0.48812,0.25869,1.72219,1.83232,2.40108,0.00134412,0.00134412,0.00134412
8,186.297,1.39265,1.64231,1.77258,0.34867,0.48294,0.37791,0.20111,1.75551,2.35439,2.4995,0.00132997,0.00132997,0.00132997
9,209.074,1.35847,1.59454,1.70776,0.62639,0.59342,0.61479,0.28728,1.84668,1.71937,2.42814,0.00131582,0.00131582,0.00131582
10,230.525,1.30273,1.53374,1.67715,0.57373,0.55343,0.58932,0.35257,1.50959,1.57739,2.07562,0.00130168,0.00130168,0.00130168
11,252.309,1.29722,1.51836,1.65573,0.55137,0.54246,0.58038,0.32779,1.63634,1.74885,2.20717,0.00128753,0.00128753,0.00128753
12,275.23,1.32248,1.50436,1.67452,0.57023,0.64673,0.61318,0.34715,1.50148,1.45514,2.05203,0.00127338,0.00127338,0.00127338
13,296.572,1.30294,1.43872,1.67531,0.55865,0.59999,0.58566,0.33081,1.55681,1.721,2.15502,0.00125923,0.00125923,0.00125923
14,317.944,1.2647,1.43476,1.6496,0.66693,0.6702,0.70578,0.44367,1.41504,1.31416,2.02174,0.00124509,0.00124509,0.00124509
15,341.127,1.19528,1.41263,1.58962,0.69617,0.59265,0.6545,0.40047,1.42926,1.40357,1.98781,0.00123094,0.00123094,0.00123094
16,362.447,1.23156,1.37942,1.61493,0.7614,0.65129,0.72229,0.42744,1.49054,1.38119,2.06452,0.00121679,0.00121679,0.00121679
17,383.948,1.22333,1.33289,1.60225,0.69296,0.69528,0.70769,0.40978,1.42117,1.25383,1.98383,0.00120265,0.00120265,0.00120265
18,407.407,1.1939,1.32105,1.58842,0.68555,0.63724,0.70277,0.38223,1.44306,1.38592,1.97725,0.0011885,0.0011885,0.0011885
19,429.264,1.19619,1.28997,1.58061,0.7197,0.67345,0.74664,0.45011,1.41517,1.27027,1.92617,0.00117435,0.00117435,0.00117435
20,450.372,1.20586,1.27338,1.58405,0.68534,0.68009,0.71445,0.40702,1.51849,1.27583,2.11093,0.00116021,0.00116021,0.00116021
21,473.026,1.13993,1.25646,1.5363,0.75437,0.75396,0.79447,0.48814,1.31791,1.10719,1.84335,0.00114606,0.00114606,0.00114606
22,494.994,1.12481,1.2457,1.54482,0.6362,0.65626,0.70512,0.41844,1.45847,1.40101,1.99543,0.00113191,0.00113191,0.00113191
23,516.596,1.11004,1.18687,1.51245,0.6986,0.65796,0.73721,0.45748,1.37357,1.41965,1.95312,0.00111776,0.00111776,0.00111776
24,539.493,1.15002,1.19015,1.54698,0.70076,0.70747,0.74789,0.43986,1.35535,1.20165,1.87774,0.00110362,0.00110362,0.00110362
25,561.807,1.15215,1.18114,1.54922,0.70608,0.72375,0.75767,0.44156,1.41907,1.21565,1.83504,0.00108947,0.00108947,0.00108947
